destinationObjects_Organization.id,recipient_org,recipient_org_type,destinationObjects_Organization.organizationSubTypes,country_name,iso3,comment
,"Yemen, Government of",Governments,,Yemen,YEM,
,Yemen Higher Relief Committee,Governments,,Yemen,YEM,
,King Salman Humanitarian Aid and Relief Center,Governments,,Saudi Arabia,SAU,
,"Niger, Government of",Governments,,Niger,NER,
,Comité Permanente de Contingencias,Governments,,Honduras,HND,
,"Indonesia, Government of",Governments,,Indonesia,IDN,
,"Somalia, Government of",Governments,,Somalia,SOM,
,The Saudi Development and Reconstruction Program for Yemen,Governments,,Saudi Arabia,SAU,
,"Papua New Guinea, Government of",Governments,,Papua New Guinea,PNG,
,National Disaster Risk Management Fund,Governments,,Pakistan,PAK,
,"Iraq, Government of",Governments,,Iraq,IRQ,
,"Latvia, Government of",Governments,,Latvia,LVA,
,"Venezuela, Government of",Governments,,"Venezuela, Bolivarian Republic of",VEN,
,"Nigeria, Government of",Governments,,Nigeria,NGA,
,"Tanzania, Government of",Governments,,"Tanzania, United Republic of",TZA,
,"Djibouti, Government of",Governments,,Djibouti,DJI,
,"Burundi, Government of",Governments,,Burundi,BDI,
,"Morocco, Government of",Governments,,Morocco,MAR,
,"Pakistan, Government of",Governments,,Pakistan,PAK,
,"Lebanon, Government of",Governments,,Lebanon,LBN,
,"Mali, Government of",Governments,,Mali,MLI,
,"Mongolia, Government of",Governments,,Mongolia,MNG,
,"Mozambique, Government of",Governments,,Mozambique,MOZ,
,"Malawi, Government of",Governments,,Malawi,MWI,
,"Zimbabwe, Government of",Governments,,Zimbabwe,ZWE,
,"Syrian Arab Republic, Government of",Governments,,Syrian Arab Republic,SYR,
,"Colombia, Government of",Governments,,Colombia,COL,
,"Cuba, Government of",Governments,,Cuba,CUB,
,"Jordan, Government of",Governments,,Jordan,JOR,
,"Kiribati, Government of",Governments,,Kiribati,KIR,
,"Fiji, Government of",Governments,,Fiji,FJI,
,"Vanuatu, Government of",Governments,,Vanuatu,VUT,
,"Solomon Islands, Government of",Governments,,Solomon Islands,SLB,
,"Tonga, Government of",Governments,,Tonga,TON,
,"Ethiopia, Government of",Governments,,Ethiopia,ETH,
,"Chad, Government of",Governments,,Chad,TCD,
,"Tuvalu, Government of",Governments,,Tuvalu,TUV,
,"Mauritius, Government of",Governments,,Mauritius,MUS,
,"Congo, Democratic Republic of, Government of",Governments,,"Congo, The Democratic Republic of the",COD,
,"Sudan, Government of",Governments,,Sudan,SDN,
,"Turkey, Government of",Governments,,Turkey,TUR,
,"Benin, Government of",Governments,,Benin,BEN,
,"Bangladesh, Government of",Governments,,Bangladesh,BGD,
,"Burkina Faso, Government of",Governments,,Burkina Faso,BFA,
,"Cameroon, Government of",Governments,,Cameroon,CMR,
,"Comoros, Government of",Governments,,Comoros,COM,
,"Zambia, Government of",Governments,,Zambia,ZMB,
,"Tajikistan, Government of",Governments,,Tajikistan,TJK,
,"Sri Lanka, Government of",Governments,,Sri Lanka,LKA,
,"Senegal, Government of",Governments,,Senegal,SEN,
,"Philippines, Government of",Governments,,Philippines,PHL,
,"Mauritania, Government of",Governments,,Mauritania,MRT,
,"Maldives, Government of",Governments,,Maldives,MDV,
,"Ghana, Government of",Governments,,Ghana,GHA,
,"Gambia, Government of",Governments,,Gambia,GMB,
,"Albania, Government of",Governments,,Albania,ALB,
,"Afghanistan, Government of",Governments,,Afghanistan,AFG,
,"Samoa, Government of",Governments,,Samoa,WSM,
,"China, Government of",Governments,,China,CHN,
,"Kyrgyzstan, Government of",Governments,,Kyrgyzstan,KGZ,
,"Palestinian territory, occupied",Governments,,occupied Palestinian territory,PSE,
,"Madagascar, Government of",Governments,,Madagascar,MDG,
,"Malaysia, Government of",Governments,,Malaysia,MYS,
,"Serbia, Government of",Governments,,Serbia,SRB,
,"Kenya, Government of",Governments,,Kenya,KEN,
,"Iran, Government of",Governments,,"Iran, Islamic Republic of",IRN,
,"Botswana, Government of",Governments,,Botswana,BWA,
,"Sierra Leone, Government of",Governments,,Sierra Leone,SLE,
,"Montenegro, Government of",Governments,,Montenegro,MNE,
,"Republic of Guinea, Government of",Governments,,Guinea,GIN,
,"Armenia, Government of",Governments,,Armenia,ARM,
,"India, Government of",Governments,,India,IND,
,"Nepal, Government of",Governments,,Nepal,NPL,
,"Romania, Government of",Governments,,Romania,ROU,
,"Belarus, Government of",Governments,,Belarus,BLR,
,"South Africa, Government of",Governments,,South Africa,ZAF,
,"Croatia, Government of",Governments,,Croatia,HRV,
,"Seychelles, Government of",Governments,,Seychelles,SYC,
,"Ukraine, Government of",Governments,,Ukraine,UKR,
,"Bulgaria, Government of",Governments,,Bulgaria,BGR,
,"Kazakhstan, Government of",Governments,,Kazakhstan,KAZ,
,"Uzbekistan, Government of",Governments,,Uzbekistan,UZB,
,"Cyprus, Government of",Governments,,Cyprus,CYP,
,"Peru, Government of",Governments,,Peru,PER,
,"Brazil, Government of",Governments,,Brazil,BRA,
,"Uruguay, Government of",Governments,,Uruguay,URY,
,"Thailand, Government of",Governments,,Thailand,THA,
,"Azerbaijan, Government of",Governments,,Azerbaijan,AZE,
,"Rwanda, Government of",Governments,,Rwanda,RWA,
,"Dominican Republic, Government of",Governments,,Dominican Republic,DOM,
,"Costa Rica, Government of",Governments,,Costa Rica,CRI,
,"Chile, Government of",Governments,,Chile,CHL,
,"Bosnia & Herzegovina, Government of",Governments,,Bosnia and Herzegovina,BIH,
,"Cambodia, Government of",Governments,,Cambodia,KHM,
,"Lao (People's Democratic Republic), Government of",Governments,,Lao People's Democratic Republic,LAO,
,"Myanmar, Government of",Governments,,Myanmar,MMR,
,"Tunisia, Government of",Governments,,Tunisia,TUN,
,"Micronesia,  Federated States of, Government of",Governments,,"Micronesia, Federated States of",FSM,
,"Honduras, Government of",Governments,,Honduras,HND,
,"Palau, Government of",Governments,,Palau,PLW,
,"Timor Leste, Government of",Governments,,Timor-Leste,TLS,
,"Jamaica, Government of",Governments,,Jamaica,JAM,
,"Cook Islands, Government of",Governments,,Cook Islands,COK,
,"Haiti, Government of",Governments,,Haiti,HTI,
,"Nauru, Government of",Governments,,Nauru,NRU,
,"Panama, Government of",Governments,,Panama,PAN,
,"Bhutan, Government of",Governments,,Bhutan,BTN,
,"Bolivia, Government of",Governments,,"Bolivia, Plurinational State of",BOL,
,"Cote d'Ivoire, Government of",Governments,,Côte d'Ivoire,CIV,
,"Gabon, Government of",Governments,,Gabon,GAB,
,Norwegian Research Council,Governments,,Norway,NOR,
,"Turkmenistan, Government of",Governments,,Turkmenistan,TKM,
,"Mexico, Government of",Governments,,Mexico,MEX,
,"Republic of South Sudan, Government of",Governments,,South Sudan,SSD,
,"Namibia, Government of",Governments,,Namibia,NAM,
,"Belize, Government of",Governments,,Belize,BLZ,
,"Bahamas, Government of",Governments,,Bahamas,BHS,
,"Suriname, Government of",Governments,,Suriname,SUR,
,"Guyana, Government of",Governments,,Guyana,GUY,
,"Trinidad and Tobago, Government of",Governments,,Trinidad and Tobago,TTO,
,"Antigua and Barbuda, Government of",Governments,,Antigua and Barbuda,ATG,
,"Saint Kitts and Nevis, Government of",Governments,,Saint Kitts and Nevis,KNA,
,"Saint Lucia, Government of",Governments,,Saint Lucia,LCA,
,"Saint Vincent and the Grenadines, Government of",Governments,,Saint Vincent and the Grenadines,VCT,
,"Grenada, Government of",Governments,,Grenada,GRD,
,"Barbados, Government of",Governments,,Barbados,BRB,
,"Algeria, Government of",Governments,,Algeria,DZA,
,"Angola, Government of",Governments,,Angola,AGO,
,"Macedonia, Former Yugoslav Republic of, Government of",Governments,,"North Macedonia, Republic of",MKD,
,"Moldova, Government of",Governments,,"Moldova, Republic of",MDA,
,"El Salvador, Government of",Governments,,El Salvador,SLV,
,"Libya, Government of",Governments,,Libya,LBY,
,"Paraguay, Government of",Governments,,Paraguay,PRY,
,"Argentina, Government of",Governments,,Argentina,ARG,
,"Egypt, Government of",Governments,,Egypt,EGY,
,"Tokelau, Government of",Governments,,Tokelau,TKL,
,"Singapore, Government of",Governments,,Singapore,SGP,
,Kuwait Fund for Arab Economic Development,Governments,,Kuwait,KWT,
,Jordanian National Commission for Women,Governments,,Jordan,JOR,
,"Uganda, Government of",Governments,,Uganda,UGA,
,"Swaziland, Government of",Governments,,Eswatini,SWZ,
,"Lesotho, Government of",Governments,,Lesotho,LSO,
,"Guatemala, Government of",Governments,,Guatemala,GTM,
,"Togo, Government of",Governments,,Togo,TGO,
,"Liberia, Government of",Governments,,Liberia,LBR,
,"Eritrea, Government of",Governments,,Eritrea,ERI,
,"Equatorial Guinea, Government of",Governments,,Equatorial Guinea,GNQ,
,"Viet Nam, Government of",Governments,,Viet Nam,VNM,
,"United Arab Emirates, Government of",Governments,,United Arab Emirates,ARE,
,Institute of Environmental Science and Research,Governments,,United Kingdom,GBR,Should be recoded as private org (academia)
,United States Geological Survey,Governments,,United States,USA,
,"Republic of Guinea-Bissau, Government of",Governments,,Guinea-Bissau,GNB,
,National Office for Assistance to Refugees - Djibouti,Governments,,Djibouti,DJI,
,Fairfax County,Governments,,United States,USA,
,Danish Emergency Management Agency,Governments,,Denmark,DNK,
,New Zealand Medical Assistance Team,Governments,,New Zealand,NZL,
,Commission Nationale d'Accueil de Réinsertion des Réfugiés et des Rapatriés,Governments,,Chad,TCD,
,Ministry of Education and Higher Education,Governments,,Lebanon,LBN,
,"Foreign, Commonwealth & Development Office",Governments,,United Kingdom,GBR,
,National Emergency Management Agency New Zealand,Governments,,New Zealand,NZL,
,The National Board of Zakat Republic of Indonesia,Governments,,Indonesia,IDN,
,National Disaster Management Agency of Liberia,Governments,,Liberia,LBR,
,Dispositif National de Prévention et Gestion des Crises Alimentaires,Governments,,Niger,NER,
,Coopération monégasque au développement,Governments,,Monaco,MCO,
,"Democratic Republic of the Congo, Government of",Governments,,Democratic Republic of the Congo,COD,
,German Federal Foreign Office Auswärtiges Amt,Governments,,Germany,DEU,
,UAE Aid,Governments,,United Arab Emirates,ARE,
,Gaza Reconstruction Committee,Governments,,Qatar,QAT,
,Qatar Airways,Governments,,Qatar,QAT,
,Federal Office of Civil Protection and Disaster Assistance,Governments,,Germany,DEU,
,Spanish autonomous community of Valencia,Governments,,Spain,ESP,
,Qatar International Search & Rescue Group - Lekhwiya (Internal Security Force),Governments,,Qatar,QAT,
,Higher Relief Commission,Governments,,Lebanon,LBN,
,"Central African Republic, Government of",Governments,,Central African Republic,CAF,
,Danidas Health Sector Programme Support,Governments,,Denmark,DNK,
,Swiss Development Cooperation/Swiss Humanitarian Aid,Governments,,Switzerland,CHE,
,Swedish Civil Contingencies Agency (MSB),Governments,,Sweden,SWE,
,"United Kingdom, Government of",Governments,,United Kingdom,GBR,
,"Sweden, Government of",Governments,,Sweden,SWE,
,"Switzerland, Government of",Governments,,Switzerland,CHE,
,"Norway, Government of",Governments,,Norway,NOR,
,"United States of America, Government of",Governments,,United States,USA,
,"Germany, Government of",Governments,,Germany,DEU,
,"Russian Federation, Government of",Governments,,Russian Federation,RUS,
,"Netherlands, Government of",Governments,,Netherlands,NLD,
,"Ireland, Government of",Governments,,Ireland,IRL,
,"Italy, Government of",Governments,,Italy,ITA,
,"Denmark, Government of",Governments,,Denmark,DNK,
,"Luxembourg, Government of",Governments,,Luxembourg,LUX,
,"Australia, Government of",Governments,,Australia,AUS,
,"Greece, Government of",Governments,,Greece,GRC,
,"Japan, Government of",Governments,,Japan,JPN,
,"Türkiye, Government of",Governments,,Türkiye,TUR,
,"Slovenia, Government of",Governments,,Slovenia,SVN,
,"Ecuador, Government of",Governments,,Ecuador,ECU,
,"Congo, Government of",Governments,,Congo,COG,
,"Spain, Government of",Governments,,Spain,ESP,
,"New Zealand, Government of",Governments,,New Zealand,NZL,
,Buco Cotonou,Governments,,Switzerland,CHE,
,KFW Development,Governments,,Germany,DEU,
,Education Above All Foundation,Governments,,Qatar,QAT,
,"Kuwait, Government of",Governments,,Kuwait,KWT,
,"Dominica, Government of",Governments,,Dominica,DMA,
,"Poland, Government of",Governments,,Poland,POL,
,"Qatar, Government of",Governments,,Qatar,QAT,
,Unitad Nacional para la Gestion del Riesgo de Desastres,Governments,,Colombia,COL,
,Italian Agency for Development Cooperation,Governments,,Italy,ITA,
15470,Kryvbas Water Canal,Governments,Local Governments,Ukraine,UKR,
15553,Development Through Adult and Non-Formal Education,Governments,National Governments,Ethiopia,ETH,Should be recoded as national NGO
15549,ASSOCIACAO SALVE BIO-MOZ,Governments,National Governments,Mozambique,MOZ,
5910,Rural Water and Sanitation Support Agency,Governments,Local Governments,South Sudan,SSD,Should be recoded as national NGO
4314,"France, Government of",Governments,National Governments,France,FRA,
11512,Ministry Of Health Development Somaliland,Governments,Local Governments,Somalia,SOM,
15926,"Cape Verde, Government of",Governments,National Governments,Cape Verde,CPV,
4862,"Nicaragua, Government of",Governments,National Governments,Nicaragua,NIC,
15184,Public charity foundation (Vaqf),Governments,Local Governments,Uzbekistan,UZB,
15222,Volunteer Movement of Bukovyna,Governments,National Governments,Ukraine,UKR,Should be recoded as national NGO
15439,The Greater Accra Regional Hospital,Governments,Local Governments,Ghana,GHA,
15443,Machghara Government Hospital,Governments,Local Governments,Lebanon,LBN,
15444,Elias Hrawi Governmental Hospital,Governments,National Governments,Lebanon,LBN,
15445,General Directorate of Health in Duhok Governorate,Governments,National Governments,Iraq,IRQ,
15446,Soran General Directorate of Health,Governments,National Governments,Iraq,IRQ,
15447,General Directorate of Zakho Health,Governments,National Governments,Iraq,IRQ,
15448,Beit Jala Governmental Hospital,Governments,National Governments,Palestine,PSE,
